,DATE,DESCRIPTION,UNIT,PLACE,STATE,day,month,week_No,DAY_NAME,MONTH,FOOD_CATEGORY,temp
0,2022-04-01,Beef,1.0,Kolenchery ,Kerala,1,4,1,Friday,April,VEG,0
1,2022-04-01,Fish,1.0,Kolenchery ,Kerala,1,4,1,Friday,April,NON_VEG,1
2,2022-04-03,Beef,2.0,Tripunithura ,Kerala,3,4,1,Sunday,April,VEG,0
3,2022-04-05,Prawns,1.0,Bangalore ,Karnataka,5,4,1,Tuesday,April,NON_VEG,1
4,2022-04-06,Dates,1.0,Mangalore,Karnataka,6,4,1,Wednesday,April,VEG,0
5,2022-04-07,Fish,2.0,Pathanamthitta ,Kerala,7,4,1,Thursday,April,NON_VEG,1
6,2022-04-07,Beef,1.0,Pathanamthitta ,Kerala,7,4,1,Thursday,April,VEG,0
7,2022-04-07,Mango,2.0,Pathanamthitta ,Kerala,7,4,1,Thursday,April,VEG,0
8,2022-04-07,Lemon,1.0,Pathanamthitta ,Kerala,7,4,1,Thursday,April,VEG,0
9,2022-04-08,Fish,1.0,Pune,Maharastra,8,4,2,Friday,April,NON_VEG,1
10,2022-04-08,Prawns,1.0,Pune,Maharastra,8,4,2,Friday,April,NON_VEG,1
11,2022-04-08,Beef,1.0,Pune,Maharastra,8,4,2,Friday,April,VEG,0
12,2022-04-10,Beef,2.0,Malappuram,Kerala,10,4,2,Sunday,April,VEG,0
13,2022-04-10,Mango,2.0,Malappuram,Kerala,10,4,2,Sunday,April,VEG,0
14,2022-04-10,Prawns,2.0,Malappuram,Kerala,10,4,2,Sunday,April,NON_VEG,1
15,2022-04-11,Fish,1.0,Padappai- Tamilnadu,Tamil Nadu,11,4,2,Monday,April,NON_VEG,1
16,2022-04-15,Beef,1.0,Nettoor,Kerala,15,4,3,Friday,April,VEG,0
17,2022-04-15,Prawns,1.0,Nettoor,Kerala,15,4,3,Friday,April,NON_VEG,1
18,2022-04-19,Prawns,2.0,Malappuram,Kerala,19,4,3,Tuesday,April,NON_VEG,1
19,2022-04-19,Lemon,1.0,Malappuram,Kerala,19,4,3,Tuesday,April,VEG,0
20,2022-04-19,Mango,2.0,Malappuram,Kerala,19,4,3,Tuesday,April,VEG,0
21,2022-04-19,Dry fruits,1.0,Malappuram,Kerala,19,4,3,Tuesday,April,VEG,0
22,2022-04-19,Prawns,1.0,Kottayam,Kerala,19,4,3,Tuesday,April,NON_VEG,1
23,2022-04-20,Prawns,3.0,Jabalpur - Madhyapradesh,Madhyapradesh,20,4,3,Wednesday,April,NON_VEG,1
24,2022-04-20,Beef,3.0,Jabalpur - Madhyapradesh,Madhyapradesh,20,4,3,Wednesday,April,VEG,0
25,2022-04-20,Fish,2.0,Eroor - Vytila,Kerala,20,4,3,Wednesday,April,NON_VEG,1
26,2022-04-20,Beef,2.0,Eroor - Vytila,Kerala,20,4,3,Wednesday,April,VEG,0
27,2022-04-20,Prawns,2.0,Kanjiramttom,Kerala,20,4,3,Wednesday,April,NON_VEG,1
28,2022-04-20,Fish,2.0,Kanjiramttom,Kerala,20,4,3,Wednesday,April,NON_VEG,1
29,2022-04-21,Prawns,1.0,Vazhakala,Kerala,21,4,3,Thursday,April,NON_VEG,1
30,2022-04-21,Beef,1.0,Vazhakala,Kerala,21,4,3,Thursday,April,VEG,0
31,2022-04-21,Mango,1.0,Vazhakala,Kerala,21,4,3,Thursday,April,VEG,0
32,2022-04-21,King Fish,4.0,Noida - UP,Uttar Pradesh,21,4,3,Thursday,April,NON_VEG,1
33,2022-04-21,Prawns,2.0,Noida - UP,Uttar Pradesh,21,4,3,Thursday,April,NON_VEG,1
34,2022-04-21,Beef,2.0,Noida - UP,Uttar Pradesh,21,4,3,Thursday,April,VEG,0
35,2022-04-21,Lemon,2.0,Noida - UP,Uttar Pradesh,21,4,3,Thursday,April,VEG,0
36,2022-04-21,Dryfruits,1.0,Noida - UP,Uttar Pradesh,21,4,3,Thursday,April,VEG,0
37,2022-04-21,Kadumanga,1.0,Noida - UP,Uttar Pradesh,21,4,3,Thursday,April,VEG,0
38,2022-04-22,Beef,2.0,Mumbai,Maharastra,22,4,4,Friday,April,VEG,0
39,2022-04-22,King Fish,2.0,Mumbai,Maharastra,22,4,4,Friday,April,NON_VEG,1
40,2022-05-03,Dates,2.0,United States,United States,3,5,1,Tuesday,May,VEG,0
41,2022-05-03,Beef,1.0,United States,United States,3,5,1,Tuesday,May,VEG,0
42,2022-05-03,Mango,1.0,United States,United States,3,5,1,Tuesday,May,VEG,0
43,2022-05-03,Dryfruits,1.0,United States,United States,3,5,1,Tuesday,May,VEG,0
44,2022-05-03,Lemon,1.0,United States,United States,3,5,1,Tuesday,May,VEG,0
45,2022-05-07,Lemon,1.0,Bangalore to US,USA,7,5,1,Saturday,May,VEG,0
46,2022-05-07,Mango,1.0,Bangalore to US,USA,7,5,1,Saturday,May,VEG,0
47,2022-05-07,Mango,1.0,Bangalore to US,USA,7,5,1,Saturday,May,VEG,0
48,2022-05-07,Prawns,1.0,Bangalore to US,USA,7,5,1,Saturday,May,NON_VEG,1
49,2022-05-13,King Fish,2.0,To Kottayam,Kerala,13,5,2,Friday,May,NON_VEG,1
50,2022-05-13,Prawns,2.0,To Kottayam,Kerala,13,5,2,Friday,May,NON_VEG,1
51,2022-05-13,Beef,4.0,To Kottayam,Kerala,13,5,2,Friday,May,VEG,0
52,2022-05-13,Mango,5.0,To Kottayam,Kerala,13,5,2,Friday,May,VEG,0
53,2022-05-13,Lemon,1.0,To Kottayam,Kerala,13,5,2,Friday,May,VEG,0
54,2022-05-12,Beef,1.0,Chennai,Tamil Nadu,12,5,2,Thursday,May,VEG,0
55,2022-05-16,Prawns,3.0,Kumily,Kerala,16,5,3,Monday,May,NON_VEG,1
56,2022-05-19,Beef,1.0,Nettoor,Kerala,19,5,3,Thursday,May,VEG,0
57,2022-05-19,Prawns,2.0,Nettoor,Kerala,19,5,3,Thursday,May,NON_VEG,1
58,2022-05-19,Beef,1.0,Mangalore - Ullal,Karnataka,19,5,3,Thursday,May,VEG,0
59,2022-05-19,Beef,1.0,Mangalore - Ullal,Karnataka,19,5,3,Thursday,May,VEG,0
60,2022-05-19,Beef,1.0,Tripunithura,Kerala,19,5,3,Thursday,May,VEG,0
61,2022-05-19,Prawns,1.0,Tripunithura,Kerala,19,5,3,Thursday,May,NON_VEG,1
62,2022-05-19,Fish,1.0,Tripunithura,Kerala,19,5,3,Thursday,May,NON_VEG,1
63,2022-05-19,Beef,1.0,Kochi,Kerala,19,5,3,Thursday,May,VEG,0
64,2022-05-19,Prawns,1.0,Kochi,Kerala,19,5,3,Thursday,May,NON_VEG,1
65,2022-05-19,Fish,1.0,Kochi,Kerala,19,5,3,Thursday,May,NON_VEG,1
66,2022-05-20,Prawns,1.0,Kolenchery ,Kerala,20,5,3,Friday,May,NON_VEG,1
67,2022-05-17,Mango,1.0,Eloor,Kerala,17,5,3,Tuesday,May,VEG,0
68,2022-05-17,Lemon,1.0,Eloor,Kerala,17,5,3,Tuesday,May,VEG,0
69,2022-05-17,Dates,1.0,Eloor,Kerala,17,5,3,Tuesday,May,VEG,0
70,2022-05-17,Prawns,1.0,Tripunithurra,Kerala,17,5,3,Tuesday,May,NON_VEG,1
71,2022-05-17,Beef,2.0,Aroor,Kerala,17,5,3,Tuesday,May,VEG,0
72,2022-05-27,Beef,1.0,Chennai,Tamil Nadu,27,5,4,Friday,May,VEG,0
73,2022-05-28,Dry fruits,2.0,Malappuram,Kerala,28,5,4,Saturday,May,VEG,0
74,2022-05-28,Prawns,2.0,Malappuram,Kerala,28,5,4,Saturday,May,NON_VEG,1
75,2022-05-28,Fish,1.0,Malappuram,Kerala,28,5,4,Saturday,May,NON_VEG,1
76,2022-04-22,Beef,2.0,Mumbai,Maharastra,22,4,4,Friday,April,VEG,0
77,2022-04-22,King Fish,2.0,Mumbai,Maharastra,22,4,4,Friday,April,NON_VEG,1
78,2022-05-30,Prawns,1.0,Mumbai,Maharastra,30,5,5,Monday,May,NON_VEG,1
79,2022-05-30,Beef,1.0,Mumbai,Maharastra,30,5,5,Monday,May,VEG,0
80,2022-05-31,Beef,1.0,Kumily,Kerala,31,5,5,Tuesday,May,VEG,0
81,2022-06-01,King Fish,6.0,Thrissur/ Guruvayoor,Kerala,1,6,1,Wednesday,June,NON_VEG,1
82,2022-06-01,Prawns,6.0,Eloor,Kerala,1,6,1,Wednesday,June,NON_VEG,1
83,2022-06-01,Beef,4.0,Eloor,Kerala,1,6,1,Wednesday,June,VEG,0
84,2022-06-01,Dryfruits,2.0,Eloor,Kerala,1,6,1,Wednesday,June,VEG,0
85,2022-06-09,Beef,1.0,Kakkanad,Kerala,9,6,2,Thursday,June,VEG,0
86,2022-06-09,Fish,1.0,Kakkanad,Kerala,9,6,2,Thursday,June,NON_VEG,1
87,2022-06-05,Prawns,1.0,Bangalore,Karnataka,5,6,1,Sunday,June,NON_VEG,1
88,2022-06-05,Prawns,4.0,malappuram,Kerala,5,6,1,Sunday,June,NON_VEG,1
89,2022-06-18,King Fish,2.0,Kochi,Kerala,18,6,3,Saturday,June,NON_VEG,1
90,2022-06-21,Prawns,3.0,Kadavanthra,Kerala,21,6,3,Tuesday,June,NON_VEG,1
91,2022-06-21,Beef,3.0,Kadavanthra,Kerala,21,6,3,Tuesday,June,VEG,0
92,2022-06-21,Mango,3.0,Kadavanthra,Kerala,21,6,3,Tuesday,June,VEG,0
93,2022-06-21,Prawns,1.0,Eroor - Vytila,Kerala,21,6,3,Tuesday,June,NON_VEG,1
94,2022-06-21,Beef,1.0,Eroor - Vytila,Kerala,21,6,3,Tuesday,June,VEG,0
95,2022-06-21,Fish,1.0,Eroor - Vytila,Kerala,21,6,3,Tuesday,June,NON_VEG,1
96,2022-06-21,Prawns,1.0,kadavanthra,Kerala,21,6,3,Tuesday,June,NON_VEG,1
97,2022-06-23,Beef,1.0,Kottayam,Kerala,23,6,4,Thursday,June,VEG,0
98,2022-06-26,Prawns,1.0,Kochi,Kerala,26,6,4,Sunday,June,NON_VEG,1
99,2022-06-28,Prawns,4.0,Kottayam,Kerala,28,6,4,Tuesday,June,NON_VEG,1
100,2022-06-28,Fish,3.0,Kottayam,Kerala,28,6,4,Tuesday,June,NON_VEG,1
101,2022-06-28,King Fish,1.0,Kottayam,Kerala,28,6,4,Tuesday,June,NON_VEG,1
102,2022-06-28,Beef,4.0,Kottayam,Kerala,28,6,4,Tuesday,June,VEG,0
